"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Wilderness_Area","Soil_Type","Class"
2861,1,16,698,314,1382,195,208,149,924,"Comanche Peak","7757","Lodgepole Pine"
2975,303,8,67,0,1398,197,236,179,677,"Comanche Peak","7756","Lodgepole Pine"
3062,69,9,524,29,2024,230,222,125,1557,"Comanche Peak","7756","Lodgepole Pine"
2913,315,6,234,23,4308,203,235,171,5867,"Rawah","7745","Lodgepole Pine"
3258,41,20,323,11,2731,218,193,101,1279,"Comanche Peak","7700","Spruce-Fir"
3305,350,16,481,82,3373,190,212,159,2750,"Comanche Peak","7756","Spruce-Fir"
3289,33,8,277,191,4107,219,222,139,1142,"Rawah","7745","Lodgepole Pine"
3014,152,24,95,32,6244,241,232,106,3460,"Rawah","7746","Lodgepole Pine"
3280,249,12,295,21,3419,193,249,193,1728,"Comanche Peak","7202","Spruce-Fir"
2930,45,7,474,46,3177,222,224,137,1926,"Rawah","7202","Lodgepole Pine"
3464,307,21,242,89,3171,156,222,203,1819,"Rawah","8776","Spruce-Fir"
3214,336,30,0,0,2402,140,185,175,2876,"Rawah","7745","Spruce-Fir"
2987,136,22,201,67,1189,248,225,94,3127,"Rawah","7201","Spruce-Fir"
2692,302,17,67,28,1639,169,229,200,1187,"Comanche Peak","4758","Lodgepole Pine"
3073,107,11,362,32,2864,239,226,116,6224,"Rawah","7745","Spruce-Fir"
2906,51,23,42,17,2084,224,183,80,1500,"Comanche Peak","7757","Spruce-Fir"
3137,335,4,124,7,2577,211,234,162,1301,"Rawah","7745","Spruce-Fir"
3327,288,9,607,46,3511,195,239,184,1498,"Rawah","8772","Spruce-Fir"
2961,43,11,376,8,2227,222,217,128,2359,"Comanche Peak","7755","Lodgepole Pine"
3090,189,7,85,2,1947,221,246,160,451,"Comanche Peak","7202","Lodgepole Pine"
2643,159,4,256,15,1224,224,240,151,5508,"Rawah","7745","Lodgepole Pine"
2983,128,14,330,52,2343,243,230,113,1489,"Comanche Peak","4758","Lodgepole Pine"
2922,21,6,402,19,4650,216,227,148,4689,"Rawah","3501","Lodgepole Pine"
2910,179,11,402,46,2239,225,247,154,631,"Comanche Peak","7755","Spruce-Fir"
2787,82,7,150,15,2183,230,228,132,2797,"Rawah","4744","Lodgepole Pine"
3100,17,16,218,82,4948,206,206,134,2147,"Rawah","7745","Spruce-Fir"
3074,89,12,212,36,677,238,220,111,1584,"Rawah","7745","Spruce-Fir"
3395,358,8,342,113,2242,208,226,155,2629,"Rawah","8776","Spruce-Fir"
2978,73,11,124,19,4385,233,218,115,3874,"Rawah","7745","Lodgepole Pine"
2962,356,10,569,-2,3415,204,223,156,5827,"Rawah","7745","Spruce-Fir"
2978,22,12,342,59,4959,212,214,137,5796,"Rawah","7102","Spruce-Fir"
2998,4,17,85,15,1527,196,206,145,1442,"Comanche Peak","7755","Lodgepole Pine"
3218,124,5,485,36,4351,229,236,140,2663,"Rawah","7745","Spruce-Fir"
2929,10,7,569,216,3042,213,226,151,1602,"Rawah","7745","Lodgepole Pine"
3225,27,4,67,7,3153,218,230,149,1864,"Rawah","7201","Spruce-Fir"
3226,166,15,272,75,866,231,244,140,2442,"Rawah","7201","Lodgepole Pine"
3220,29,20,170,30,5626,209,192,112,1332,"Rawah","7745","Lodgepole Pine"
3080,47,11,201,9,3866,224,215,124,1884,"Rawah","7745","Lodgepole Pine"
2630,56,14,558,89,785,228,209,111,2664,"Rawah","4744","Lodgepole Pine"
2656,88,16,60,-1,1723,242,213,96,42,"Comanche Peak","4703","Lodgepole Pine"
3014,96,20,60,-17,589,248,206,78,741,"Rawah","7745","Spruce-Fir"
2879,0,24,335,148,1008,177,187,141,1194,"Comanche Peak","7757","Spruce-Fir"
3202,131,10,313,39,5007,237,235,128,1528,"Rawah","7745","Spruce-Fir"
2825,23,7,0,0,1441,216,225,145,2530,"Rawah","7745","Spruce-Fir"
2994,270,14,342,17,4744,182,244,201,180,"Rawah","7745","Lodgepole Pine"
3335,310,25,85,26,1275,143,213,206,1563,"Neota","8772","Spruce-Fir"
3096,22,12,624,6,3933,212,214,137,3437,"Rawah","7745","Lodgepole Pine"
3086,82,19,67,16,3112,243,203,82,3154,"Rawah","7746","Spruce-Fir"
3129,282,7,255,28,3518,201,241,179,845,"Rawah","7745","Lodgepole Pine"
3166,231,15,255,34,534,196,252,192,5005,"Neota","7201","Lodgepole Pine"
2706,198,2,162,14,1951,218,241,159,4137,"Rawah","7202","Lodgepole Pine"
3094,291,7,90,13,1332,201,239,177,2884,"Comanche Peak","7755","Spruce-Fir"
3008,194,14,663,141,5768,217,251,164,3988,"Rawah","7745","Lodgepole Pine"
2749,6,9,0,0,1947,210,223,151,3362,"Rawah","7102","Lodgepole Pine"
3250,260,16,180,21,3190,178,247,206,1256,"Comanche Peak","7755","Spruce-Fir"
2628,125,15,331,72,335,244,228,110,1195,"Rawah","4744","Lodgepole Pine"
3405,294,21,577,195,875,156,230,212,1184,"Neota","7757","Spruce-Fir"
3048,98,2,175,16,981,222,236,151,1922,"Rawah","7745","Lodgepole Pine"
3108,108,8,426,15,5207,233,232,130,1421,"Rawah","7745","Spruce-Fir"
3235,38,17,108,-7,2080,218,200,112,4544,"Neota","7202","Spruce-Fir"
2535,30,15,210,13,379,214,206,124,2938,"Rawah","7745","Lodgepole Pine"
2952,320,12,666,32,5460,188,228,180,1956,"Rawah","7745","Lodgepole Pine"
2751,49,5,120,-5,1860,222,229,143,2750,"Rawah","7102","Lodgepole Pine"
2863,319,14,124,3,2871,182,226,183,2329,"Rawah","7745","Spruce-Fir"
2793,32,17,108,12,2698,214,201,118,4418,"Rawah","4744","Lodgepole Pine"
2963,253,7,216,1,5710,204,245,179,1995,"Rawah","7202","Spruce-Fir"
2898,138,13,95,17,577,239,235,124,2496,"Rawah","7201","Lodgepole Pine"
2962,5,3,379,-26,1395,216,234,155,1800,"Rawah","7202","Spruce-Fir"
3306,161,12,631,104,2835,232,243,140,1107,"Comanche Peak","7757","Spruce-Fir"
2657,86,15,488,-70,1233,240,215,101,3886,"Rawah","7745","Lodgepole Pine"
2907,146,12,42,9,1897,236,238,131,576,"Comanche Peak","7756","Lodgepole Pine"
2885,64,15,30,0,524,233,207,103,258,"Comanche Peak","7757","Spruce-Fir"
3169,151,23,426,91,295,242,232,107,3460,"Neota","7701","Lodgepole Pine"
2860,67,5,430,95,3558,226,229,138,6037,"Rawah","4744","Spruce-Fir"
2867,67,12,443,56,1698,232,216,115,2926,"Comanche Peak","7202","Lodgepole Pine"
3267,105,19,190,25,1071,249,212,83,1082,"Comanche Peak","7755","Spruce-Fir"
3087,270,3,277,-39,2447,211,240,168,1758,"Comanche Peak","7202","Lodgepole Pine"
3247,132,21,418,23,1302,248,225,95,2356,"Rawah","7745","Spruce-Fir"
2853,78,16,67,33,927,239,209,95,376,"Comanche Peak","7756","Lodgepole Pine"
3027,285,18,192,41,2707,167,237,209,1736,"Comanche Peak","7756","Spruce-Fir"
2952,41,21,780,91,2342,217,188,97,1239,"Comanche Peak","7700","Lodgepole Pine"
3128,67,9,485,102,1681,229,222,125,3482,"Comanche Peak","7700","Spruce-Fir"
3093,179,19,285,26,2436,224,248,148,3350,"Comanche Peak","7757","Lodgepole Pine"
3102,37,24,277,-66,1020,212,180,92,940,"Rawah","7745","Lodgepole Pine"
3235,343,11,551,163,3280,199,224,164,1794,"Comanche Peak","7755","Spruce-Fir"
3254,129,16,67,14,5202,244,229,108,421,"Rawah","7745","Lodgepole Pine"
3158,56,5,408,77,1426,223,229,141,3424,"Comanche Peak","7757","Spruce-Fir"
3161,35,15,42,0,2548,217,206,121,2846,"Rawah","7202","Spruce-Fir"
2973,223,10,0,0,5620,208,250,178,2167,"Rawah","7201","Spruce-Fir"
2880,277,11,192,66,1250,190,242,191,2644,"Comanche Peak","7757","Lodgepole Pine"
2988,99,13,601,23,4479,241,221,108,3077,"Rawah","7745","Lodgepole Pine"
2600,45,26,150,66,1073,217,174,77,1129,"Comanche Peak","7757","Lodgepole Pine"
3082,355,6,30,4,2006,211,230,157,1194,"Comanche Peak","7103","Spruce-Fir"
3188,223,12,514,79,408,205,251,182,2999,"Comanche Peak","7755","Lodgepole Pine"
3138,76,9,30,3,1558,231,224,126,497,"Comanche Peak","7755","Spruce-Fir"
3143,160,12,641,102,782,232,242,140,1878,"Comanche Peak","7757","Lodgepole Pine"
2890,120,17,150,33,3487,247,224,100,2832,"Rawah","7745","Lodgepole Pine"
2685,104,15,42,7,1294,244,220,102,752,"Comanche Peak","7755","Lodgepole Pine"
3048,66,10,67,2,967,230,220,122,127,"Comanche Peak","7700","Spruce-Fir"
2844,319,13,295,9,3030,185,227,182,2830,"Rawah","4744","Lodgepole Pine"
3123,258,18,832,353,1110,175,248,210,1390,"Comanche Peak","7757","Spruce-Fir"
3187,78,7,162,10,5396,229,228,132,3036,"Rawah","7202","Lodgepole Pine"
3141,325,11,192,46,4302,191,227,176,1224,"Rawah","7745","Spruce-Fir"
2693,66,8,42,-1,684,228,225,131,1486,"Rawah","4744","Spruce-Fir"
3068,257,13,127,30,1682,190,247,195,182,"Comanche Peak","7756","Spruce-Fir"
3220,273,4,408,36,484,209,241,170,981,"Neota","7202","Spruce-Fir"
2940,356,3,0,0,2162,214,234,157,481,"Comanche Peak","7756","Spruce-Fir"
3109,61,12,0,0,3535,230,214,115,4108,"Rawah","7202","Spruce-Fir"
3081,8,21,162,5,1275,190,192,134,1044,"Rawah","7201","Spruce-Fir"
3182,18,10,630,69,3471,213,220,143,3621,"Rawah","7745","Spruce-Fir"
2766,112,16,0,0,3891,246,222,100,1008,"Rawah","7202","Spruce-Fir"
2726,95,8,0,0,1530,234,228,126,2041,"Rawah","7102","Spruce-Fir"
2746,331,15,182,57,1421,183,220,175,2262,"Rawah","7745","Lodgepole Pine"
2838,23,5,67,3,1342,217,228,148,2469,"Rawah","7745","Spruce-Fir"
2673,292,14,67,17,1661,179,236,197,1224,"Comanche Peak","4758","Lodgepole Pine"
3201,297,10,85,7,4168,192,237,184,1392,"Comanche Peak","7201","Spruce-Fir"
2956,214,17,210,22,1475,201,254,184,1423,"Comanche Peak","7755","Lodgepole Pine"
3230,130,8,510,76,1356,234,236,133,2236,"Rawah","8771","Spruce-Fir"
2799,330,10,150,25,3214,196,228,171,2885,"Rawah","4744","Lodgepole Pine"
3384,165,18,108,29,2270,233,243,133,3450,"Neota","7756","Spruce-Fir"
3104,185,32,379,167,3632,208,242,144,1062,"Comanche Peak","7757","Lodgepole Pine"
2934,304,13,42,0,2679,185,233,188,600,"Comanche Peak","7756","Spruce-Fir"
3167,140,8,297,1,1048,232,238,138,2372,"Rawah","7202","Spruce-Fir"
3217,71,16,30,-4,1632,236,207,98,2646,"Rawah","7745","Spruce-Fir"
3434,86,10,108,25,1846,234,224,120,3342,"Neota","8703","Spruce-Fir"
3433,38,6,481,55,1379,220,227,143,3795,"Neota","8703","Spruce-Fir"
3036,230,14,258,36,1836,197,252,190,1465,"Comanche Peak","7202","Spruce-Fir"
2528,72,8,150,0,577,230,224,127,771,"Rawah","7202","Lodgepole Pine"
3137,130,4,30,1,4607,226,237,145,1952,"Rawah","7101","Spruce-Fir"
3219,38,16,162,16,875,218,203,115,1935,"Neota","7202","Spruce-Fir"
2816,323,26,228,82,3561,145,203,193,1276,"Rawah","7745","Lodgepole Pine"
3018,89,31,525,184,591,248,174,31,1006,"Comanche Peak","7757","Spruce-Fir"
3126,327,11,595,13,3758,193,228,174,3508,"Rawah","7745","Spruce-Fir"
2998,60,13,0,0,5224,230,212,113,2072,"Rawah","7202","Spruce-Fir"
2754,96,6,30,-4,1222,231,231,133,926,"Comanche Peak","4704","Lodgepole Pine"
2819,23,21,242,40,1507,202,189,117,2638,"Comanche Peak","7702","Lodgepole Pine"
2911,52,13,569,160,1294,226,211,116,1541,"Comanche Peak","7756","Lodgepole Pine"
3227,8,12,750,37,1974,206,217,147,513,"Comanche Peak","7202","Spruce-Fir"
2855,225,24,150,80,2495,179,254,202,591,"Comanche Peak","4758","Lodgepole Pine"
2722,17,17,90,17,309,204,203,132,2513,"Rawah","7700","Lodgepole Pine"
2869,93,18,175,52,192,245,210,87,1282,"Rawah","7745","Spruce-Fir"
3142,354,17,212,57,1230,189,207,155,277,"Comanche Peak","7700","Spruce-Fir"
3144,234,15,424,83,5916,193,252,194,1852,"Rawah","7746","Lodgepole Pine"
3061,331,12,127,41,4476,191,225,173,2232,"Rawah","7746","Lodgepole Pine"
2907,203,10,190,38,3309,215,250,168,2940,"Rawah","7745","Lodgepole Pine"
2791,343,29,85,52,3436,150,184,164,5973,"Rawah","7745","Spruce-Fir"
2916,304,10,201,49,4094,192,235,183,5876,"Rawah","7745","Lodgepole Pine"
3168,169,11,95,6,524,228,245,147,1328,"Rawah","7202","Spruce-Fir"
3173,315,6,212,21,4843,205,235,170,2543,"Rawah","7745","Lodgepole Pine"
3007,72,19,319,66,2830,238,201,87,1503,"Comanche Peak","7757","Lodgepole Pine"
3045,272,9,285,19,658,197,243,185,842,"Comanche Peak","4758","Spruce-Fir"
2924,222,12,603,124,2568,204,252,182,1765,"Comanche Peak","7702","Lodgepole Pine"
3263,9,9,270,48,5516,210,222,149,553,"Rawah","7201","Spruce-Fir"
2873,242,7,190,52,4332,207,246,177,5036,"Rawah","7745","Lodgepole Pine"
2893,164,20,335,142,1921,234,242,129,875,"Comanche Peak","4758","Lodgepole Pine"
2962,208,8,437,53,5961,215,248,169,5402,"Rawah","7745","Lodgepole Pine"
3280,332,22,430,129,2741,165,207,179,408,"Comanche Peak","7757","Spruce-Fir"
3194,149,18,376,33,474,241,236,118,2731,"Neota","7756","Spruce-Fir"
2908,327,30,192,68,1558,134,190,188,1167,"Comanche Peak","7757","Spruce-Fir"
3018,241,11,706,122,5909,199,249,187,5653,"Rawah","7745","Lodgepole Pine"
3009,131,14,210,29,1221,242,232,117,2442,"Rawah","7745","Lodgepole Pine"
2671,344,29,67,28,1812,151,183,162,1584,"Rawah","7745","Lodgepole Pine"
2743,173,4,124,18,1380,222,241,155,2164,"Rawah","4744","Spruce-Fir"
3180,58,6,437,63,794,224,228,138,2107,"Comanche Peak","7201","Spruce-Fir"
3024,29,11,127,23,4183,216,216,134,3743,"Rawah","7745","Lodgepole Pine"
2748,86,10,150,17,2701,235,223,119,4705,"Rawah","7700","Lodgepole Pine"
3027,350,18,636,-32,1159,186,208,158,1959,"Comanche Peak","7757","Lodgepole Pine"
3093,90,16,150,26,3558,243,213,96,2950,"Rawah","7745","Lodgepole Pine"
3177,322,3,30,0,484,212,236,162,1176,"Neota","7202","Spruce-Fir"
2721,119,16,376,51,1319,246,224,101,1652,"Rawah","7202","Lodgepole Pine"
3117,91,12,212,46,390,238,221,111,725,"Comanche Peak","7756","Lodgepole Pine"
2852,351,14,127,42,127,195,215,158,376,"Rawah","7746","Lodgepole Pine"
3045,124,3,0,0,2998,225,237,146,594,"Rawah","7101","Lodgepole Pine"
2837,54,14,470,52,3266,228,209,111,6413,"Rawah","4744","Lodgepole Pine"
2978,21,21,108,-4,1337,202,191,119,1289,"Comanche Peak","7755","Lodgepole Pine"
3082,69,7,395,-100,1620,228,226,131,1233,"Rawah","7745","Spruce-Fir"
2946,75,11,30,10,1839,234,219,116,2751,"Comanche Peak","7101","Lodgepole Pine"
2666,45,7,295,13,1477,222,224,137,6060,"Rawah","4744","Lodgepole Pine"
2724,212,7,150,13,997,214,247,169,2016,"Rawah","4744","Spruce-Fir"
2687,333,25,108,31,1571,155,199,179,1401,"Comanche Peak","7700","Lodgepole Pine"
3131,194,8,30,2,3273,219,247,162,1454,"Comanche Peak","7101","Lodgepole Pine"
3021,34,9,30,1,2412,219,221,138,4100,"Rawah","7202","Spruce-Fir"
3073,345,7,150,15,5005,206,229,161,2721,"Rawah","7201","Spruce-Fir"
3050,330,8,247,0,2053,202,231,168,1608,"Rawah","7202","Spruce-Fir"
2968,80,12,124,16,4190,236,219,113,2155,"Rawah","7102","Lodgepole Pine"
3014,3,13,162,10,5251,201,214,149,4568,"Rawah","7745","Lodgepole Pine"
3001,174,4,626,69,2101,222,242,155,2440,"Comanche Peak","7756","Lodgepole Pine"
2773,153,20,268,72,1697,240,237,118,2265,"Comanche Peak","4703","Lodgepole Pine"
2992,295,18,458,15,4888,166,232,205,283,"Rawah","7745","Lodgepole Pine"
2914,68,13,0,0,497,233,214,112,1575,"Comanche Peak","7757","Lodgepole Pine"
2767,335,15,42,9,2940,185,218,172,4844,"Rawah","7700","Lodgepole Pine"
2775,118,15,30,4,1410,244,226,107,1729,"Comanche Peak","4704","Lodgepole Pine"
3154,198,4,591,117,1917,218,243,161,811,"Comanche Peak","4758","Lodgepole Pine"
3266,48,6,391,48,750,222,227,140,1624,"Neota","7202","Spruce-Fir"
2733,12,15,42,7,2707,204,209,140,2509,"Rawah","6101","Lodgepole Pine"
2942,155,20,966,161,2508,239,238,120,1418,"Comanche Peak","4758","Lodgepole Pine"
3237,95,8,30,-6,671,233,229,128,2058,"Rawah","7201","Spruce-Fir"
3048,341,14,95,19,192,191,219,167,987,"Rawah","7201","Lodgepole Pine"
2942,185,20,180,49,2554,219,250,155,850,"Comanche Peak","4758","Spruce-Fir"
3428,94,22,499,146,2346,248,200,69,2391,"Rawah","8772","Spruce-Fir"
3237,62,15,212,-12,955,231,209,106,2922,"Neota","7202","Lodgepole Pine"
2920,52,20,256,96,4379,226,194,94,1020,"Rawah","7745","Lodgepole Pine"
2975,22,11,124,10,4099,213,217,139,2174,"Rawah","7746","Lodgepole Pine"
2703,34,5,604,76,1110,219,228,146,1503,"Rawah","4744","Lodgepole Pine"
2909,276,5,255,67,3295,207,241,173,2448,"Rawah","4744","Lodgepole Pine"
2784,39,14,162,49,1307,220,209,121,2654,"Comanche Peak","4704","Lodgepole Pine"
3223,299,19,726,20,1431,165,230,204,1415,"Comanche Peak","7757","Spruce-Fir"
2853,164,20,247,67,3673,234,242,130,1477,"Rawah","7746","Lodgepole Pine"
2721,41,14,120,23,2070,221,208,119,1338,"Rawah","4744","Lodgepole Pine"
2584,43,20,306,61,108,220,193,100,1261,"Rawah","7745","Lodgepole Pine"
2982,212,14,792,86,5988,208,252,178,5978,"Rawah","7745","Lodgepole Pine"
2863,323,21,420,117,624,163,214,188,2269,"Rawah","7700","Lodgepole Pine"
3368,67,18,510,82,3820,235,201,91,2825,"Rawah","8776","Spruce-Fir"
2916,315,3,30,-2,4540,211,237,164,5467,"Rawah","7102","Lodgepole Pine"
3357,63,6,604,118,3123,226,227,135,2581,"Comanche Peak","7756","Spruce-Fir"
2715,319,10,95,12,2413,193,231,177,5178,"Rawah","4744","Lodgepole Pine"
3195,310,28,366,116,3358,135,209,209,3257,"Comanche Peak","7700","Spruce-Fir"
2968,177,16,175,22,1082,226,247,148,618,"Comanche Peak","4758","Spruce-Fir"
3116,288,8,127,2,4574,199,240,180,3293,"Rawah","7201","Spruce-Fir"
3010,260,23,67,12,1445,160,246,221,190,"Comanche Peak","7756","Spruce-Fir"
2856,359,22,150,49,2541,182,193,145,942,"Comanche Peak","7755","Lodgepole Pine"
2932,80,12,510,19,4805,236,219,113,3041,"Rawah","7202","Spruce-Fir"
2839,120,10,216,38,2866,238,232,124,2434,"Rawah","7745","Lodgepole Pine"
